"Parcel Number",Number,Street,"School District",Township,"Corp / Village","Sale #",Month,Year,"Sale Price",Sqft,Acres,"Yr Built",Story,Basement,Frame,Bedrooms,BasementSqft,"Fin Base",Air,GarageSqft,Type,"Heat Type",Roof,RoofType,Rooms,FullBaths,HalfBaths,Grade,MHRE,NeighCode,PropClass,LandValue,BldgValue,"Property Card"
020005920801,28615,"STARR RT",2A,4B,,"   59"," 2",10,"    99800"," 1352","    19088",1998,1,,F," 2",,,Y,"  576",A,FA,S,," 6",2,,D+5,,7025,511,"  22820","   97420",http://www.realestate.co.hocking.oh.us/cards/Crnt/020005920801.pdf
020006050000,14750,"PLEASANT VAL",2A,4B,,"   53"," 2",10,"   130000"," 2136","   100000",1971,2,B,F,,"  768",,,"  864",D,"ELEC BB",S,ASP," 8",1,1,C,,7025,512,"  38100","  104150",http://www.realestate.co.hocking.oh.us/cards/Crnt/020006050000.pdf
020006200400,29364,STARR,2A,4B,,"   95"," 3",10,"    45000",,"    50763",,,,,,,,,,,,,,,,,,,9021,100,"  28760",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020006200400.pdf
020006260000,30069,"STARR ROUTE",2A,4B,,"  416",10,10,"   130000",,"   856440",,,,,,,,,,,,,,,,,,,9021,100," 154150",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020006260000.pdf
020006350000,30069,"STARR ROUTE",2A,4B,,"  416",10,10,"   130000"," 2404","   503500",1877,2,,B,,,,,,,,S,SHN," 8",1,,D+10,,9021,101," 109830","   47020",http://www.realestate.co.hocking.oh.us/cards/Crnt/020006350000.pdf
020007851000,31350,MAYS,2A,4B,,"  530",12,10,"   189900"," 1976","    41073",1990,1,B,F," 2"," 1248",F,Y,,,"HEAT PMP",S,ASP,,2,,C+5,," 249",510,"  32370","  150060",http://www.realestate.co.hocking.oh.us/cards/Crnt/020007851000.pdf
020007855900,31358,DEERFIELD,2A,4B,,"  486",11,10,"   150000","  912","    31969",2002,1,B,F," 3","  912",F,,"  480",A,"HEAT PMP",S,," 7",2,,C+5,," 249",510,"  29940","  123840",http://www.realestate.co.hocking.oh.us/cards/Crnt/020007855900.pdf
020008340400,29258,"BIG PINE",2A,4B,,"  111"," 4",10,"    27500",,"    50000",,,,,,,,,,,,,,,,,,,7025,501,"  28600",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020008340400.pdf
020008360000,29593,"BIG PINE",2A,4B,,"  465",11,10,"    69000","  624","    18800",1946,1,,F,,,,,,,,S,ASP," 6",1,,D+5,,7025,511,"  22760","   48950",http://www.realestate.co.hocking.oh.us/cards/Crnt/020008360000.pdf
020008480000,15590,"PLEASANT VAL",2A,4B,,"  440",10,10,"   122000",,"   163940",,,,,,,,,,,,,,,,,,,7025,505,"  50240",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020008480000.pdf
020008890700,,"BIG PINE",2A,4B,,"  116"," 4",10,"   368000",,"    15900",,,,,,,,,,,,,,,,,,," 242",500,"   4650",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020008890700.pdf
020008892500,16514,COLLISON,2A,4B,,"  315"," 7",10,"   225000"," 1212","    18700",2004,2,B,L," 3","  768",F,Y,,,CENTRAL,S,," 6",2,,C-5,," 242",580,"  28550","  106910",http://www.realestate.co.hocking.oh.us/cards/Crnt/020008892500.pdf
020008910300,,,2A,4B,,"  308"," 7",10,"    40000",,"    50000",,,,,,,,,,,,,,,,,,,7025,501,"   9500",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020008910300.pdf
020009030400,,COLLISON,2A,4B,,"  366"," 9",10,"    74000",,"    58290",,,,,,,,,,,,,,,,,,," 242",501,"  16200",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020009030400.pdf
020009030500,28937,"BIG PINE",2A,4B,,"  116"," 4",10,"   368000"," 2304","    12160",2006,1,B,L," 3"," 1152",F,Y,"  528",A,"HEAT PMP",S,," 5",2,1,B-5,," 242",580,"  26640","  202140",http://www.realestate.co.hocking.oh.us/cards/Crnt/020009030500.pdf
020009030700,16211,COLLISON,2A,4B,,"  217"," 5",10,"   275000"," 1248","    27780",2004,1,B,L," 2","  832",F,Y,,,"HEAT PMP",S,GAB," 4",3,,B-5,," 242",580,"  31210","  177480",http://www.realestate.co.hocking.oh.us/cards/Crnt/020009030700.pdf
020009290000,30150,PHELPS,2A,4B,,"  339"," 8",10,"    48750"," 2128","    20731",2000,1,,F," 4",,,,,,"HEAT PMP",S,GAB,,3,,D-10,X,7025,561,"  23140","  110060",http://www.realestate.co.hocking.oh.us/cards/Crnt/020009290000.pdf
020009290000,30150,PHELPS,2A,4B,,"  551",12,10,"    34900"," 2128","    20731",2000,1,,F," 4",,,,,,"HEAT PMP",S,GAB,,3,,D-10,X,7025,561,"  23140","  110060",http://www.realestate.co.hocking.oh.us/cards/Crnt/020009290000.pdf
020009620200,,SKINNER,2A,4B,,"   86"," 3",10,"   391086",,"    77614",,,,,,,,,,,,,,,,,,,7025,501,"  33840",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020009620200.pdf
020009620300,16651,SKINNER,2A,4B,,"  163"," 4",10,"    76350",,"    69345",,,,,,,,,,,,,,,,,,,7025,501,"  32270",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020009620300.pdf
020009620300,16651,SKINNER,2A,4B,,"  375"," 9",10,"    76350",,"    69345",,,,,,,,,,,,,,,,,,,7025,501,"  32270",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020009620300.pdf
020009620300,16651,SKINNER,2A,4B,,"  376"," 9",10,"   504203",,"    69345",,,,,,,,,,,,,,,,,,,7025,501,"  32270",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020009620300.pdf
020009890000," 1243",SOUTH,2A,4B,,"  328"," 8",10,"    15000",,"    20700",,,,,,,,,"  720",D,,,,,,,,," 290",511,"  12890","   11070",http://www.realestate.co.hocking.oh.us/cards/Crnt/020009890000.pdf
